Page,Edits,Editors,Views
"Wer ist Hanna?",?,?,65296
"Otto Skorzeny",?,?,65285
"Ungarn",?,?,65257
"Liste der Tatort-Folgen",?,?,65205
"Revolution von 1848/1849 im Kaisertum Österreich",?,?,65104
"Eiffelturm",?,?,65071
"Magnetresonanztomographie",?,?,65063
"Candace Cameron Bure",?,?,65034
"Robin Williams",?,?,64949
"Freiburg im Breisgau",?,?,64821
"Formel-1-Weltmeisterschaft 2016",?,?,64809
"BMW i8",?,?,64662
"Chloë Grace Moretz",?,?,64632
"Tom Cruise",?,?,64614
"Hendrik Duryn",?,?,64570
"Ludwig van Beethoven",?,?,64507
"Glyphosat",?,?,64463
"Heinrich VIII. (England)",?,?,64272
"Kurden",?,?,64161
"Albanien",?,?,64114
"Vin Diesel",?,?,64003
"Phife Dawg",?,?,63985
"Sri Lanka",?,?,63851
"Sami Khedira",?,?,63778
"Terroranschläge am 13. November 2015 in Paris",?,?,63759
"Thailand",?,?,63606
"Kollegah",?,?,63592
"Liste der Millionenstädte",?,?,63495
"Android (Betriebssystem)",?,?,63439
"Charlize Theron",?,?,63410
"Salah Abdeslam",?,?,63357
"Tom Hanks",?,?,63333
"Florian David Fitz",?,?,63296
"Bernd Lucke",?,?,63288
"Sinus und Kosinus",?,?,63218
"Marvel’s Agents of S.H.I.E.L.D.",?,?,63137
"Bundeswehr",?,?,63136
"Das Boot (Film)",?,?,63121
"Portugal",?,?,63098
"Apple",?,?,63073
"Gal Gadot",?,?,63072
"Jim Parsons",?,?,63030
"Che Guevara",?,?,63024
"Los Angeles",?,?,62974
"Ibuprofen",?,?,62970
"England",?,?,62923
"The Rolling Stones",?,?,62682
"Zypern",?,?,62674
"Mark Wahlberg",?,?,62635
"Bertolt Brecht",?,?,62630
"Jamaika",?,?,62626
"Tinder",?,?,62615
"Charles Manson",?,?,62611
"Europoolpalette",?,?,62599
"Compact (Magazin)",?,?,62535
"Afrika",?,?,62409
"Mexiko",?,?,62330
"Jennifer Grey",?,?,62283
"Otto von Bismarck",?,?,62242
"Faschismus",?,?,62192
"Thomas Müller",?,?,62142
"Linda Kozlowski",?,?,62136
"RAL-Farbe",?,?,62122
"Dubai",?,?,62082
"Erde",?,?,62078
"Saudi-Arabien",?,?,62069
"Zaha Hadid",?,?,61911
"Mario Gómez",?,?,61887
"Interstellar",?,?,61877
"Katharina Wackernagel",?,?,61858
"Hochzeitstag",?,?,61829
"Flüchtlingskrise in Europa ab 2015",?,?,61815
"Elisabeth von Österreich-Ungarn",?,?,61815
"Tatort: Auf einen Schlag",?,?,61798
"Armin Dassler",?,?,61792
"Oliver Pocher",?,?,61629
"Gaius Iulius Caesar",?,?,61530
"Heiko Maas",?,?,61438
"Kat Dennings",?,?,61332
"Newton (Einheit)",?,?,61278
"Carrie (2013)",?,?,61270
"Leicester City",?,?,61266
"Algorithmus",?,?,61222
"Penis",?,?,61113
"Vom Winde verweht (Film)",?,?,60995
"Kasachstan",?,?,60992
"Auferstehung Jesu Christi",?,?,60918
"Zeugen Jehovas",?,?,60874
"Bachelor",?,?,60805
"Akte X – Die unheimlichen Fälle des FBI/Staffel 10",?,?,60771
"AlphaGo",?,?,60746
"Serbien",?,?,60708
"Dreißigjähriger Krieg",?,?,60599
"Natascha Kampusch",?,?,60598
"Sozialdemokratische Partei Deutschlands",?,?,60584
"Johann Sebastian Bach",?,?,60565
"Franziska Weisz",?,?,60559
"John F. Kennedy",?,?,60508
"UEFA Champions League 2015/16",?,?,60370
"Kate Upton",?,?,60368
"Gaby Schuster (Spielermanagerin)",?,?,60254
"Lady Gaga",?,?,60236
"Bratwurst",?,?,60211
"Leitzins",?,?,60179
"Cedric (Vorname)",?,?,60050
"Liechtenstein",?,?,60029
"Hashtag",?,?,59939
"The Big Short (Film)",?,?,59911
"Henry Cavill",?,?,59890
"Minecraft",?,?,59859
"Kletterfische",?,?,59840
"Istanbul",?,?,59796
"Bärlauch",?,?,59780
"Lungenentzündung",?,?,59772
"Fritz Honka",?,?,59735
"Jessica Ginkel",?,?,59727
"Brandenburg",?,?,59697
"Volkswagen-Currywurst",?,?,59596
"Ägypten",?,?,59592
"Vereinigte Arabische Emirate",?,?,59589
"Sezessionskrieg",?,?,59556
"Sonnensystem",?,?,59484
"Tony Curtis",?,?,59482
"Sacha Baron Cohen",?,?,59411
"Primzahl",?,?,59340
"Bruttoinlandsprodukt",?,?,59294
"Orange Is the New Black",?,?,59244
"D. Swarovski",?,?,59134
"Ole Einar Bjørndalen",?,?,59123
"Kalifornien",?,?,59120
"Helena Fürst",?,?,59039
"The Man in the High Castle (Fernsehserie)",?,?,59015
"Grey’s Anatomy/Episodenliste",?,?,58971
"Beate Zschäpe",?,?,58919
"Emma Watson",?,?,58909
"Prag",?,?,58774
"Morbus Crohn",?,?,58768
"Ostersonntag",?,?,58710
"Mario Götze",?,?,58696
"Scarlett Johansson",?,?,58679
"Mount Everest",?,?,58658
"Republikanische Partei",?,?,58596
"Kanarische Inseln",?,?,58548
"Gesine Cukrowski",?,?,58490
"Martin Luther King",?,?,58475
"Bosnien und Herzegowina",?,?,58415
"Ken Howard",?,?,58370
"Hannover",?,?,58337
"Christoph Kolumbus",?,?,58226
"Hongkong",?,?,58139
"Pansexualität",?,?,58113
"Standardabweichung",?,?,58089
"Herzogenaurach",?,?,58060
"Gold",?,?,58059
"Claudio Pizarro",?,?,57999
"Beim Leben meiner Schwester (Film)",?,?,57965
"Lara Gut",?,?,57894
"Zoomania",?,?,57878
"Falco",?,?,57760
"Puerto Rico",?,?,57757
"Manuel Neuer",?,?,57742
"Das Leben der Anderen",?,?,57724
"Finnland",?,?,57664
"Brie Larson",?,?,57626
"Prometheus",?,?,57599
"Jamie-Lee Kriewitz",?,?,57544
"Parkinson-Krankheit",?,?,57506
"Patty Duke",?,?,57469
"Düsseldorf",?,?,57426
"VW Golf VII",?,?,57406
"Halāl",?,?,57373
"YouPorn",?,?,57356
"Gemma Arterton",?,?,57270
"Lena Gercke",?,?,57249
"Malediven",?,?,57227
"Mallorca",?,?,57186
"Heidelberg",?,?,57184
"Gicht",?,?,57149
"Frank Sinatra junior",?,?,57131
"Lichtgeschwindigkeit",?,?,57113
"Nico Marquardt",?,?,57111
"Violetta (Fernsehserie)",?,?,57063
"David Bowie",?,?,57040
"Josef Stalin",?,?,57036
"Kalter Krieg",?,?,56939
"Deutsche Sprache",?,?,56859
"Michail Sergejewitsch Gorbatschow",?,?,56844
"Sophie Marceau",?,?,56798
"Arthrose",?,?,56715
"Heiliges Römisches Reich",?,?,56684
"BMW E46",?,?,56559
"Viskosität",?,?,56474
"George Martin",?,?,56458
"Wolf",?,?,56433
"Syphilis",?,?,56391
"Mensch",?,?,56350
"Cate Blanchett",?,?,56330
"Joko Winterscheidt",?,?,56258
"Köln 50667",?,?,56208
"Washington, D.C.",?,?,56183
"RAID",?,?,56175
"Bundesstaat der Vereinigten Staaten",?,?,56035
"Barcelona",?,?,55986
"Audi",?,?,55983
"Natalia Wörner",?,?,55917
"Moby-Dick",?,?,55897
"Besoldungsordnung W",?,?,55890
"Alle unter einem Dach",?,?,55885
"Sherlock – Die Braut des Grauens",?,?,55861
"Rihanna",?,?,55854
"Hawaii",?,?,55839
"Kokain",?,?,55838
"Hugh Jackman",?,?,55567
"How I Met Your Mother",?,?,55556
"Weibliche Genitalverstümmelung",?,?,55537
"Kölner Dom",?,?,55521
"Kontinent",?,?,55474
"Blutzucker",?,?,55457
"Das Adlon. Eine Familiensaga",?,?,55421
"Slowakei",?,?,55421
"Wolke Hegenbarth",?,?,55406
"SAP",?,?,55365
"Schottland",?,?,55356
"Lukas Graham",?,?,55345
"Teen Wolf (Fernsehserie)",?,?,55273
"Marcel Hirscher",?,?,55269
"Mecklenburg-Vorpommern",?,?,55257
"Cillian Murphy",?,?,55231
"Papierformat",?,?,55170
"Gute Zeiten, schlechte Zeiten",?,?,55169
"Swastika",?,?,55167
"Heidi Klum",?,?,55103
"Der Bachelor",?,?,55091
"Prora",?,?,55034
"Sonne",?,?,55022
"Jaleel White",?,?,54913
