country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
ZM,132,1572566400000,9000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PR,133,1572566400000,9000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
TG,134,1572566400000,9000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
HN,135,1572566400000,9000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
RW,136,1572566400000,9000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BN,137,1572566400000,8000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MQ,138,1572566400000,8000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
GP,139,1572566400000,8000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BZ,140,1572566400000,8000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MC,141,1572566400000,7000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MZ,142,1572566400000,7000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BJ,143,1572566400000,7000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
SD,144,1572566400000,7000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BH,145,1572566400000,7000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CD,146,1572566400000,7000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
